#xind    lon    lat 
 492 4.6792 3.40003 
 493 3.10761 0.926003 
 494 1.56181 -1.60696 
 495      0 -4.14624 
 496 -1.57181 -6.66748 
 497 -3.10007 -9.17674 
 498 -4.70831 -11.3478 
 499 -6.35042 -13.516 
 500 -8.02228 -15.6608 
 501     36 37.1375 
 502 32.9135 35.298 
 503 29.9669 33.3836 
 504 27.1494 31.4026 
 505 24.4501 29.3625 
 506 22.8471 27.0801 
 507 21.3083 24.7803 
 508 19.8258 22.4653 
 509 18.3921 20.1372 
 510 16.6908 17.6481 
 511 15.036 15.1448 
 512  13.42 12.6297 
 513 11.8356 10.1051 
 514 10.4118 7.81499 
 515 9.00359 5.52013 
 516 7.60625 3.22197 
 517 6.21521 0.921917 
 518 4.67327 -1.60967 
 519 3.1275 -4.14009 
 520 1.57181 -6.66748 
 521      0 -9.18996 
 522 -1.58462 -11.3747 
 523 -3.1937 -13.5509 
 524 -4.83245 -15.7166 
 525 -6.50634 -17.8698 
 526     36 34.4944 
 527 33.0093 32.6535 
 528 30.1381 30.7342 
 529 27.3931 28.7551 
 530 25.7994 26.5056 
 531 24.2086 24.2356 
 532 22.6713 21.9388 
 533 21.1956 19.6334 
 534 19.7485 17.3594 
 535 18.0542 14.8784 
 536 16.3972 12.3716 
 537 14.7849 9.86126 
 538 13.3978 7.58525 
 539 11.9738 5.29706 
 540 10.5594 2.99286 
 541 9.16174 0.693579 
 542 7.74909 -1.55686 
 543 6.20724 -4.09319 
 544 4.65579 -6.64097 
 545 3.10007 -9.17674 
 546 1.58462 -11.3747 
 547      0 -13.5712 
 548 -1.61428 -15.7704 
 549 -3.25417 -17.9511 
 550 -4.95233 -20.0667 
 551     36 31.8513 
 552 33.096 29.9987 
 553 30.3002 28.0847 
 554 28.6613 25.8695 
 555 27.0829 23.6365 
 556 25.5078 21.3686 
 557 23.9808 19.0865 
 558 22.5052 16.8347 
 559 21.0643 14.5726 
 560 19.3815 12.0872 
 561 17.7297 9.59181 
 562 16.3287 7.32798 
 563 14.9419 5.05985 
 564 13.5222 2.76247 
 565 12.108 0.463407 
 566 10.699 -1.7861 
 567 9.28658 -4.03452 
 568 7.75107 -6.58819 
 569 6.19968 -9.13712 
 570 4.70831 -11.3478 
 571 3.1937 -13.5509 
 572 1.61428 -15.7704 
 573      0 -17.9782 
 574 -1.65424 -20.1219 
 575 -3.3543 -22.2497 
 576     36 29.2082 
 577 33.1696 27.3538 
 578 31.501 25.1718 
 579 29.8786 22.9674 
 580 28.3113 20.7573 
 581 26.747 18.4981 
 582 25.2556 16.2678 
 583 23.786 14.0223 
 584 22.3473 11.7788 
 585 20.6696 9.29754 
 586 19.2657 7.04588 
 587 17.8646 4.78361 
 588 16.4739 2.53083 
 589 15.054 0.23201 
 590 13.6592 -2.01653 
 591  12.25 -4.27044 
 592 10.8335 -6.50926 
 593 9.29837 -9.07123 
 594 7.84029 -11.2939 
 595 6.35042 -13.516 
 596 4.83245 -15.7166 
 597 3.25417 -17.9511 
 598 1.65424 -20.1219 
 599      0 -22.2842 
 600 -1.70583 -24.4166 
 601     36 26.5651 
 602 34.2942 24.4166 
 603 32.6457 22.2497 
 604 31.0477 20.0667 
 605 29.4937 17.8698 
 606 27.9777 15.6608 
 607 26.4943 13.4416 
 608 25.0381 11.2139 
 609 23.6043 8.97926 
 610 22.1881 6.73914 
 611 20.7849 4.49498 
 612 19.3903 2.24815 
 613     18      0 
 614 16.6097 -2.24815 
 615 15.2151 -4.49498 
 616 13.8119 -6.73914 
 617 12.3957 -8.97926 
 618 10.9619 -11.2139 
 619 9.50571 -13.4416 
 620 8.02228 -15.6608 
 621 6.50634 -17.8698 
 622 4.95233 -20.0667 
 623 3.3543 -22.2497 
 624 1.70583 -24.4166 
 625      0 -26.5651 
 626      0     90 
 627     36 87.3569 
 628     36 84.7138 
 629     36 82.0706 
 630     36 79.4275 
 631     36 76.7844 
 632     36 74.1413 
 633     36 71.4981 
 634     36 68.855 
 635     36 66.2119 
 636     36 63.5688 
 637     36 60.9256 
 638     36 58.2825 
 639     36 55.6394 
 640     36 52.9963 
 641     36 50.3532 
 642     36  47.71 
 643     36 45.0669 
 644     36 42.4238 
 645     36 39.7807 
 646     36 37.1375 
 647     36 34.4944 
 648     36 31.8513 
 649     36 29.2082 
 650     36 26.5651 
 651    108 87.3569 
 652     72 85.7191 
 653   58.4 83.3805 
 654 52.0892 80.8761 
 655 48.5204 78.2563 
 656 46.2652 75.6595 
 657  44.71 73.0366 
 658 43.5764 70.4148 
 659 42.8639 67.4464 
 660 42.184 64.8148 
 661 41.6355 62.169 
 662 41.1876 59.5321 
 663 40.8078 56.8378 
 664 40.4949 54.1979 
 665 40.2272 51.5457 
 666 39.9988 48.9039 
 667 39.6435 45.9342 
 668  39.48 43.2911 
 669 39.3345 40.6373 
 670 39.2096 37.9933 
 671 39.0865 35.298 
 672 38.9907 32.6535 
 673 38.904 29.9987 
 674 38.8304 27.3538 
 675 37.7058 24.4166 
 676    108 84.7138 
 677   85.6 83.3805 
 678     72 81.4131 
 679 63.7562 79.1013 
 680 58.4375 76.6466 
 681 54.863 74.1496 
 682 52.2471 71.6098 
 683 50.3529 68.7034 
 684 48.8963 65.7807 
 685 47.7198 63.1752 
 686 46.7378 60.5615 
 687 45.9324 57.8943 
 688 45.2384 55.2226 
 689 44.6779 52.589 
 690 44.181 49.953 
 691 43.5865 47.0029 
 692 43.0543  44.05 
 693 42.7611 41.4053 
 694 42.4909 38.7599 
 695 42.2542 36.072 
 696 42.0331 33.3836 
 697 41.8619 30.7342 
 698 41.6998 28.0847 
 699 40.499 25.1718 
 700 39.3543 22.2497 
 701    108 82.0706 
 702 91.9108 80.8761 
 703 80.2438 79.1013 
 704     72 77.0061 
 705 66.0892 74.7365 
 706 61.8497 72.3656 
 707 58.6336 69.5887 
 708  56.14 66.7566 
 709 54.1545 63.9072 
 710 52.608 61.3469 
 711 51.3559 58.7301 
 712 50.265 56.0929 
 713 49.3083 53.4597 
 714 48.5352 50.8454 
 715   47.7 47.9284 
 716 46.9406 44.9952 
 717 46.2496 42.0706 
 718 45.8391 39.4329 
 719 45.4952 36.7599 
 720 45.1643 34.0762 
 721 44.8506 31.4026 
 722 44.6069 28.7551 
 723 43.3387 25.8695 
 724 42.1214 22.9674 
 725 40.9523 20.0667 
 726    108 79.4275 
 727 95.4796 78.2563 
 728 85.5625 76.6466 
 729 77.9108 74.7365 
 730     72 72.6249 
 731 67.421 70.0462 
 732 63.8678 67.3763 
 733 61.0369 64.644 
 734 58.7277 61.8675 
 735 56.9895 59.3189 
 736 55.4947 56.7504 
 737 54.1919 54.1663 
 738 53.0427 51.5698 
 739 51.9352 48.6919 
 740 50.9477 45.8045 
 741 50.0577 42.9094 
 742 49.2478 40.008 
 743 48.7799 37.349 
 744 48.3441 34.6882 
 745 47.9354 32.026 
 746 47.5499 29.3625 
 747 46.2006 26.5056 
 748 44.9171 23.6365 
 749 43.6887 20.7573 
 750 42.5063 17.8698 
 751    108 76.7844 
 752 97.7348 75.6595 
 753 89.137 74.1496 
 754 82.1503 72.3656 
 755 76.579 70.0462 
 756     72 67.5812 
 757 68.3042 64.9968 
 758 65.2933 62.3462 
 759 62.7129 59.6953 
 760 60.7999 57.198 
 761 59.1334 54.663 
 762 57.678 52.1164 
 763 56.3814 49.3034 
 764 55.1398 46.4552 
 765 54.0261 43.5809 
 766 53.0282 40.7073 
 767 52.0671 37.8728 
 768 51.5153 35.2231 
 769 51.0008 32.5604 
 770 50.5262 29.9046 
 771 49.1529 27.0801 
 772 47.7914 24.2356 
 773 46.4922 21.3686 
 774 45.253 18.4981 
 775 44.0223 15.6608 
 776    108 74.1413 
 777  99.29 73.0366 
 778 91.7529 71.6098 
 779 85.3664 69.5887 
 780 80.1322 67.3763 
 781 75.6958 64.9968 
 782     72 62.5076 
 783 68.8777 59.994 
 784 66.2015 57.4173 
 785 64.1884 54.962 
 786 62.4085 52.4773 
 787 60.8296 49.7229 
 788 59.4209 46.9493 
 789 58.0903 44.122 
 790 56.8815 41.2807 
 791 55.7614 38.4824 
 792 54.7252 35.6742 
 793 54.1112 33.0281 
 794 53.533 30.3792 
 795 52.076 27.587 
 796 50.6917 24.7803 
 797 49.3287 21.9388 
 798 48.0192 19.0865 
 799 46.7444 16.2678 
 800 45.5057 13.4416 
 801    108 71.4981 
 802 100.424 70.4148 
 803 93.6471 68.7034 
 804  87.86 66.7566 
 805 82.9631 64.644 
 806 78.7067 62.3462 
 807 75.1223 59.994 
 808     72 57.5505 
 809 69.2744 55.0543 
 810 67.1963 52.6469 
 811 65.3589 49.9643 
 812 63.6993 47.2469 
 813 62.2006 44.5217 
 814 60.7953 41.7236 
 815 59.5293 38.9696 
 816 58.3449 36.1935 
 817 57.2391 33.4203 
 818 56.567 30.7843 
 819 55.0375 28.0267 
 820 53.574 25.2476 
 821 52.1742 22.4653 
 822 50.8044 19.6334 
 823 49.4948 16.8347 
 824 48.214 14.0223 
 825 46.9619 11.2139 
 826    108 68.855 
 827 101.136 67.4464 
 828 95.1037 65.7807 
 829 89.8455 63.9072 
 830 85.2723 61.8675 
 831 81.2871 59.6953 
 832 77.7985 57.4173 
 833 74.7256 55.0543 
 834     72 52.6226 
 835 69.8977 50.0203 
 836 68.0128 47.3839 
 837 66.3085 44.7195 
 838 64.755 42.032 
 839 63.328 39.3253 
 840 62.0077 36.6025 
 841 60.7778 33.8661 
 842 59.6244 31.1183 
 843 58.0103 28.3974 
 844 56.4773 25.6585 
 845 55.0134 22.9043 
 846 53.6079 20.1372 
 847 52.2515 17.3594 
 848 50.9357 14.5726 
 849 49.6527 11.7788 
 850 48.3957 8.97926 
 851    108 66.2119 
 852 101.816 64.8148 
 853 96.2802 63.1752 
 854 91.392 61.3469 
 855 87.0105 59.3189 
 856 83.2001 57.198 
 857 79.8116 54.962 
 858 76.8037 52.6469 
 859 74.1023 50.0203 
 860     72 47.453 
 861 70.0951 44.8395 
 862 68.371 42.2033 
 863 66.7601 39.4968 
 864 65.3084 36.8118 
 865 63.9564 34.0992 
 866 62.701 31.3795 
 867 61.3901 28.6377 
 868 59.7689 25.9342 
 869 58.2221 23.1996 
 870 56.7498 20.458 
 871 55.3092 17.6481 
 872 53.9458 14.8784 
 873 52.6185 12.0872 
 874 51.3304 9.29754 
 875 49.8119 6.73914 
 876    108 63.5688 
 877 102.365 62.169 
 878 97.2622 60.5615 
 879 92.6441 58.7301 
 880 88.5053 56.7504 
 881 84.8666 54.663 
 882 81.5915 52.4773 
 883 78.6411 49.9643 
 884 75.9872 47.3839 
 885 73.9049 44.8395 
 886     72 42.2605 
 887 70.2465 39.6072 
 888 68.6231 36.9295 
 889 67.1626 34.2564 
 890 65.7924 31.567 
 891 64.3976 28.8579 
 892 63.0739 26.1352 
 893 61.4563 23.4367 
 894 59.9036 20.7222 
 895 58.4106 17.939 
 896 56.964 15.1448 
 897 55.6028 12.3716 
 898 54.2703 9.59181 
 899 52.7343 7.04588 
 900 51.2151 4.49498 
 901    108 60.9256 
 902 102.812 59.5321 
 903 98.0676 57.8943 
 904 93.735 56.0929 
 905 89.8081 54.1663 
 906 86.322 52.1164 
 907 83.1704 49.7229 
 908 80.3007 47.2469 
 909 77.6915 44.7195 
 910 75.629 42.2033 
 911 73.7535 39.6072 
 912     72 36.9774 
 913 70.364 34.3351 
 914 68.8937 31.6798 
 915 67.4289 29.0059 
 916 66.0262 26.3109 
 917 64.6867 23.6141 
 918 63.0673 20.9287 
 919 61.5354 18.1737 
 920 60.0385 15.3995 
 921  58.58 12.6297 
 922 57.2151 9.86126 
 923 55.6713 7.32798 
 924 54.1354 4.78361 
 925 52.6097 2.24815 
 926    108 58.2825 
 927 103.192 56.8378 
 928 98.7616 55.2226 
 929 94.6917 53.4597 
 930 90.9573 51.5698 
 931 87.6186 49.3034 
 932 84.5791 46.9493 
 933 81.7994 44.5217 
 934 79.245 42.032 
 935 77.2399 39.4968 
 936 75.3769 36.9295 
 937 73.636 34.3351 
 938     72 31.7175 
 939 70.4543 29.0801 
 940 68.986 26.426 
 941 67.584 23.7575 
 942 66.2384 21.0769 
 943 64.6545 18.3507 
 944  63.12 15.6118 
 945 61.626 12.8626 
 946 60.1644 10.1051 
 947 58.6022 7.58525 
 948 57.0581 5.05985 
